				Type		Date		Num		Memo		Account		Clr		Split		Amount
				Invoice		11/19/2018		2076				106 · Accounts Receivable				-SPLIT-		1,687.48
				Invoice		11/30/2018		2109				106 · Accounts Receivable				-SPLIT-		1,400.00
				Invoice		11/30/2018		2172				106 · Accounts Receivable				-SPLIT-		175.00
	O
				Invoice		11/15/2018		2072				106 · Accounts Receivable				-SPLIT-		78.20
	O
				Invoice		11/15/2018		2051				106 · Accounts Receivable				-SPLIT-		249.35
				Payment		11/18/2018				2051		110 · Deposit in Transit		Ö		106 · Accounts Receivable		229.35
	O
				Payment		11/05/2018		121943		1916		110 · Deposit in Transit		Ö		106 · Accounts Receivable		125.00
				Invoice		11/15/2018		2052				106 · Accounts Receivable				-SPLIT-		538.00
				Payment		11/23/2018		122030		1970, 2052		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,038.00
				Invoice		11/30/2018		2163				106 · Accounts Receivable				-SPLIT-		125.00
	P
				Invoice		11/15/2018		2053				106 · Accounts Receivable				-SPLIT-		1,013.55
				Invoice		11/30/2018		2164				106 · Accounts Receivable				-SPLIT-		62.50
	P
				Payment		11/13/2018		116988		1861		110 · Deposit in Transit		Ö		106 · Accounts Receivable		2,450.00
				Invoice		11/15/2018		2054				106 · Accounts Receivable				-SPLIT-		2,450.00
	P
				Invoice		11/30/2018		2165				106 · Accounts Receivable				-SPLIT-		87.50
	P
				Invoice		11/15/2018		2055				106 · Accounts Receivable				-SPLIT-		341.52
				Payment		11/30/2018		5901		1862		110 · Deposit in Transit		Ö		106 · Accounts Receivable		376.86
	R
				Invoice		11/15/2018		2056				106 · Accounts Receivable				-SPLIT-		582.44
				Invoice		11/30/2018		2166				106 · Accounts Receivable				-SPLIT-		62.50
	R
				Invoice		11/19/2018		1989		VOID:		106 · Accounts Receivable		Ö		-SPLIT-		0.00
				Payment		11/20/2018		1450		1946, 1971		110 · Deposit in Transit		Ö		106 · Accounts Receivable		960.00
				Invoice		11/30/2018		2177				106 · Accounts Receivable				-SPLIT-		3,210.00
	R
				Invoice		11/30/2018		2168				106 · Accounts Receivable				-SPLIT-		87.50
	R
				Payment		11/27/2018				1497,1498,1516,1517,1595,1596		110 · Deposit in Transit		Ö		106 · Accounts Receivable		4,462.50
				Invoice		11/30/2018		2135				106 · Accounts Receivable				-SPLIT-		3,798.27
				Invoice		11/30/2018		2173				106 · Accounts Receivable				-SPLIT-		87.50
	R
				Invoice		11/30/2018		2171		VOID:		106 · Accounts Receivable		Ö		-SPLIT-		0.00
	R
				Payment		11/01/2018		11622		1865		110 · Deposit in Transit		Ö		106 · Accounts Receivable		512.55
	S
				Invoice		11/01/2018		1926				106 · Accounts Receivable				-SPLIT-		534.06
				Payment		11/05/2018		4362		1926		110 · Deposit in Transit		Ö		106 · Accounts Receivable		534.06
	S
				Payment		11/07/2018		14126		1365,1589		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,475.00
				Payment		11/08/2018		14134		1444, 1663		110 · Deposit in Transit		Ö		106 · Accounts Receivable		30,405.27
				Invoice		11/15/2018		2070				106 · Accounts Receivable				-SPLIT-		14,715.32
				Invoice		11/20/2018		2086				106 · Accounts Receivable				-SPLIT-		1,304.99
				Payment		11/29/2018		14141		1866		110 · Deposit in Transit		Ö		106 · Accounts Receivable		14,994.66
				Payment		11/29/2018		14147		1945, 1974		110 · Deposit in Transit		Ö		106 · Accounts Receivable		4,358.42
				Invoice		11/30/2018		2106				106 · Accounts Receivable				-SPLIT-		962.50
				Invoice		11/30/2018		2174				106 · Accounts Receivable				-SPLIT-		87.50
				Invoice		11/30/2018		2175				106 · Accounts Receivable				-SPLIT-		87.50
	S
				Invoice		11/15/2018		2081				106 · Accounts Receivable				-SPLIT-		1,416.70
				Invoice		11/30/2018		2156				106 · Accounts Receivable				-SPLIT-		125.00
	S
				Invoice		11/15/2018		2082				106 · Accounts Receivable				-SPLIT-		624.19
				Payment		11/28/2018				2082		110 · Deposit in Transit		Ö		106 · Accounts Receivable		624.19
	S
				Invoice		11/15/2018		2080				106 · Accounts Receivable				-SPLIT-		150.00
	S
				Payment		11/09/2018		6439				110 · Deposit in Transit		Ö		106 · Accounts Receivable		272.08
				Invoice		11/15/2018		2088				106 · Accounts Receivable				-SPLIT-		247.06
	S
				Invoice		11/01/2018		1957				106 · Accounts Receivable				-SPLIT-		916.67
				Payment		11/05/2018		9336		1957		110 · Deposit in Transit		Ö		106 · Accounts Receivable		916.67
	S
				Invoice		11/01/2018		1959				106 · Accounts Receivable				-SPLIT-		70.00
				Payment		11/30/2018		44282		1959		110 · Deposit in Transit		Ö		106 · Accounts Receivable		70.00
	S
				Payment		11/13/2018		6711		1872		110 · Deposit in Transit		Ö		106 · Accounts Receivable		260.00
	S
				Payment		11/14/2018		4268		1871		110 · Deposit in Transit		Ö		106 · Accounts Receivable		786.68
				Invoice		11/15/2018		2058				106 · Accounts Receivable				-SPLIT-		786.68
	S
				Payment		11/13/2018		59868		1722, 1801		110 · Deposit in Transit		Ö		106 · Accounts Receivable		625.00
	S
				Invoice		11/15/2018		2059				106 · Accounts Receivable				-SPLIT-		8.34
				Payment		11/15/2018				1505, 2059		110 · Deposit in Transit		Ö		106 · Accounts Receivable		164.08
	S
				Invoice		11/30/2018		2186				106 · Accounts Receivable				-SPLIT-		334.84
	S
				Invoice		11/30/2018		2158		VOID:		106 · Accounts Receivable		Ö		-SPLIT-		0.00
	S
				Invoice		11/15/2018		2090				106 · Accounts Receivable				-SPLIT-		460.00
	S
				Invoice		11/15/2018		2060				106 · Accounts Receivable				-SPLIT-		3,480.00
	T
				Invoice		11/15/2018		2061				106 · Accounts Receivable				-SPLIT-		1,080.00
				Payment		11/23/2018		600305		2061		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,080.00
	T
				Invoice		11/15/2018		2062				106 · Accounts Receivable				-SPLIT-		257.49
				Payment		11/21/2018		1129		2062		110 · Deposit in Transit		Ö		106 · Accounts Receivable		257.49
	T
				Invoice		11/09/2018		1987				106 · Accounts Receivable				-SPLIT-		15,387.33
				Invoice		11/15/2018		2063				106 · Accounts Receivable				-SPLIT-		1,100.00
				Payment		11/19/2018		110		1987		110 · Deposit in Transit		Ö		106 · Accounts Receivable		15,387.33
				Payment		11/28/2018		2900		2063		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,100.00
	T
				Payment		11/23/2018		1125925		1275		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,126.41
				Payment		11/29/2018		298200		1804		110 · Deposit in Transit		Ö		106 · Accounts Receivable		25,000.00
				Credit Memo		11/30/2018		2137				106 · Accounts Receivable				-SPLIT-		-16,461.45
				General Journal		11/30/2018		AJE 0330 63				106 · Accounts Receivable				146 · Furniture and Equipment		-2,553.26
	T
				Invoice		11/01/2018		1964				106 · Accounts Receivable				-SPLIT-		1,179.17
				Payment		11/08/2018		69502		1964		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,179.17
	U
				Invoice		11/15/2018		2064				106 · Accounts Receivable				-SPLIT-		50.00
				Payment		11/26/2018		per draft agreement				110 · Deposit in Transit				106 · Accounts Receivable		50.00
				Invoice		11/30/2018		2157				106 · Accounts Receivable				-SPLIT-		125.00
	V
				Invoice		11/15/2018		2065				106 · Accounts Receivable				-SPLIT-		50.00
				Payment		11/23/2018		4340		2065		110 · Deposit in Transit		Ö		106 · Accounts Receivable		50.00
				Invoice		11/30/2018		2169				106 · Accounts Receivable				-SPLIT-		62.50
	W
				Payment		11/05/2018		17625		1678		110 · Deposit in Transit		Ö		106 · Accounts Receivable		31.33
				Invoice		11/15/2018		2066				106 · Accounts Receivable				-SPLIT-		20.00
				Payment		11/30/2018		17636		2066		110 · Deposit in Transit		Ö		106 · Accounts Receivable		20.00
	W
				Invoice		11/01/2018		1965				106 · Accounts Receivable				-SPLIT-		4,166.00
				Payment		11/02/2018		87726		1755		110 · Deposit in Transit		Ö		106 · Accounts Receivable		4,166.00
	Z
				Invoice		11/15/2018		2067				106 · Accounts Receivable				-SPLIT-		8,800.00
